id,customer_age,occupation_type,relationship_status,education_background,has_credit_issue,mortgage_status,personal_loan_status,last_contact_month,day_of_week,contact_time_minutes,contact_attempt_count,days_since_prior_contact,prior_contact_count,prior_outcome_status,economic_activity_change,consumer_price_index,consumer_confidence_index,reference_interest_rate,employment_level_index,accepted_offer,is_repeat_customer,recent_contact_flag
18421,35,blue-collar,married,basic.4y,unknown,no,no,apr,mon,212,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
13623,28,admin.,married,high.school,no,no,no,jun,fri,113,3,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0,0,0
4751,32,admin.,single,university.degree,no,no,no,nov,wed,125,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0,0
8426,46,services,married,high.school,no,no,no,apr,wed,325,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0,0
15315,43,blue-collar,married,basic.9y,no,yes,no,jul,thu,24,1,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,0,0,0
4463,56,technician,married,basic.4y,unknown,no,no,jun,wed,458,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0,0
3163,28,admin.,single,high.school,no,no,no,jul,thu,720,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0,0
28836,32,admin.,single,university.degree,no,yes,no,may,wed,76,1,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,0,0,0
34038,48,blue-collar,married,basic.9y,no,no,yes,may,fri,56,1,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,0,1,0
34411,48,blue-collar,married,basic.9y,unknown,no,no,aug,tue,213,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
12659,28,admin.,single,university.degree,no,no,yes,mar,wed,96,2,999,0,nonexistent,-1.8,92.843,-50.0,1.548,5099.1,1,0,0
34748,26,admin.,single,high.school,no,yes,no,may,fri,448,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0,0
33833,54,management,married,high.school,unknown,no,no,may,mon,229,5,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,1,0
34893,47,blue-collar,single,unknown,no,yes,no,jul,tue,91,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0,0
3241,24,student,single,high.school,unknown,no,no,may,wed,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0,0
15671,31,housemaid,married,basic.4y,no,no,no,jun,wed,91,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,0,0
1029,34,blue-collar,married,basic.4y,unknown,yes,no,apr,thu,570,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,0,0,0
34025,29,admin.,single,university.degree,unknown,no,no,aug,fri,97,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
21402,39,self-employed,married,university.degree,no,no,yes,jun,mon,72,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0,0
33546,29,admin.,single,university.degree,no,yes,no,aug,wed,120,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
18699,60,self-employed,married,university.degree,no,yes,no,jul,wed,416,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0,0
19922,31,unemployed,married,high.school,no,no,yes,nov,fri,94,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0,0
14526,38,technician,divorced,professional.course,no,yes,no,aug,fri,130,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
27225,46,admin.,married,basic.9y,no,yes,no,nov,tue,18,1,999,1,failure,-1.1,94.767,-50.8,1.047,4963.6,0,1,0
15443,43,management,married,professional.course,no,yes,no,nov,tue,99,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0,0
36841,31,services,married,high.school,unknown,yes,no,jul,tue,178,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0,0
18465,23,student,single,university.degree,no,yes,no,may,thu,200,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0,0
29713,32,admin.,married,university.degree,no,yes,yes,aug,mon,217,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0,0
7359,28,blue-collar,single,basic.4y,unknown,yes,no,jul,tue,321,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0,0
7448,52,management,married,university.degree,no,yes,no,aug,tue,439,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
39832,32,admin.,single,university.degree,no,yes,yes,may,wed,84,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,1,0
26625,52,blue-collar,married,unknown,unknown,yes,no,jun,thu,118,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0,0
1918,56,retired,divorced,basic.4y,no,no,no,jun,mon,163,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,0,0,0
19234,57,admin.,married,university.degree,no,no,no,jun,tue,214,1,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,0,0,0
29817,32,admin.,single,university.degree,no,no,no,oct,tue,96,1,999,3,failure,-3.4,92.431,-26.9,0.728,5017.5,0,1,0
26775,29,admin.,single,high.school,no,no,no,mar,mon,150,4,999,0,nonexistent,-1.8,93.369,-34.8,0.652,5008.7,0,0,0
2008,34,admin.,married,university.degree,no,yes,yes,nov,wed,147,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0,0
18198,56,blue-collar,married,basic.9y,no,no,no,may,thu,369,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0,0
37420,44,admin.,married,high.school,no,no,no,may,fri,130,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,0,0,0
13943,30,admin.,married,university.degree,no,yes,yes,aug,thu,67,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
29742,25,admin.,married,university.degree,no,yes,no,mar,fri,277,1,999,0,nonexistent,-1.8,92.843,-50.0,1.531,5099.1,0,0,0
27220,53,technician,married,university.degree,no,yes,no,jun,fri,73,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0,0
33449,31,admin.,married,basic.9y,no,no,no,jun,thu,145,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0,0
9162,35,management,divorced,university.degree,no,yes,yes,jun,tue,270,2,12,2,success,-1.7,94.055,-39.8,0.723,4991.6,0,1,1
2168,60,retired,divorced,basic.4y,unknown,yes,no,may,tue,135,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
1118,33,admin.,single,university.degree,no,yes,no,may,wed,358,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,0,1,0
5129,28,student,single,university.degree,no,yes,yes,may,fri,108,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0,0,0
16381,39,admin.,single,university.degree,unknown,no,no,may,tue,125,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
11128,50,admin.,married,university.degree,no,yes,no,nov,mon,204,1,7,1,success,-3.4,92.649,-30.1,0.722,5017.5,0,1,1
15556,52,services,married,high.school,unknown,yes,no,mar,thu,177,2,11,3,failure,-1.8,93.369,-34.8,0.654,5008.7,1,1,1
19461,31,blue-collar,married,basic.9y,no,yes,no,may,thu,172,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0,0
27293,42,technician,married,professional.course,no,yes,yes,nov,mon,126,2,999,1,failure,-0.1,93.2,-42.0,4.191,5195.8,0,1,0
4724,33,admin.,single,university.degree,no,yes,yes,aug,thu,66,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0,0
33306,31,admin.,single,university.degree,no,no,no,may,fri,229,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,0,0,0
40739,39,blue-collar,married,high.school,no,no,yes,may,fri,248,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,0,1,0
6603,26,student,single,unknown,no,yes,no,nov,wed,92,2,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,0,0,0
11979,49,blue-collar,divorced,high.school,no,no,no,may,mon,439,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
38981,47,blue-collar,married,basic.4y,no,yes,no,jun,thu,309,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,0,0,0
27872,26,admin.,single,unknown,no,no,yes,jul,mon,106,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0,0
12551,59,housemaid,married,basic.4y,unknown,yes,no,aug,mon,618,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0,0
8403,30,self-employed,single,university.degree,no,no,no,jun,wed,587,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1,0,0
13732,31,technician,single,university.degree,no,no,no,may,mon,629,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,1,1,0
16000,36,blue-collar,married,basic.6y,no,yes,no,may,thu,11,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
22243,58,retired,married,professional.course,unknown,unknown,unknown,may,tue,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0,0
11713,56,admin.,divorced,basic.6y,unknown,no,no,jul,mon,70,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0,0
17090,31,admin.,single,high.school,no,yes,no,may,mon,100,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
22296,32,admin.,single,high.school,no,yes,no,jul,thu,209,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0,0
31318,37,self-employed,married,basic.9y,no,yes,no,aug,fri,78,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
4915,45,entrepreneur,divorced,university.degree,no,no,no,may,fri,462,4,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,1,0,0
34167,58,retired,married,basic.4y,no,yes,no,jun,tue,159,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0,0
9841,24,admin.,single,university.degree,unknown,no,no,may,mon,220,1,999,1,failure,-1.8,92.893,-46.2,1.244,5099.1,0,1,0
10217,42,admin.,single,high.school,no,no,no,may,tue,65,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0,0
6166,30,management,married,university.degree,no,yes,no,may,mon,61,3,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,0,1,0
24973,53,technician,married,high.school,no,yes,no,mar,tue,539,2,999,0,nonexistent,-1.8,93.369,-34.8,0.655,5008.7,1,0,0
39304,31,unemployed,single,university.degree,no,yes,no,nov,fri,30,1,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0,0
7277,34,blue-collar,single,high.school,no,yes,no,jul,mon,435,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0,0
10423,23,student,single,high.school,no,no,no,jul,mon,270,3,999,0,nonexistent,-2.9,92.469,-33.6,1.048,5076.2,1,0,0
14068,56,unknown,single,basic.9y,no,no,yes,jul,mon,329,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0,0
14399,36,admin.,married,high.school,no,no,no,may,wed,152,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0,0
382,33,admin.,married,university.degree,no,yes,no,jun,wed,379,5,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,0,0,0
13958,44,management,married,university.degree,unknown,no,yes,may,wed,245,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0,0
39308,47,admin.,single,university.degree,no,yes,no,aug,tue,161,1,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,1,1,0
17867,46,blue-collar,married,basic.9y,unknown,yes,yes,apr,mon,479,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,0,0,0
2119,36,technician,single,high.school,no,yes,yes,aug,tue,629,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0,0
20833,39,management,single,basic.9y,no,yes,no,nov,mon,125,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0,0
33038,35,services,married,high.school,no,yes,no,jul,wed,698,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0,0
34010,66,retired,divorced,basic.4y,no,yes,no,mar,thu,141,4,999,2,failure,-1.8,93.369,-34.8,0.654,5008.7,0,1,0
24222,58,housemaid,married,basic.4y,no,yes,no,may,wed,413,1,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0,0
37953,33,services,single,high.school,no,no,no,may,mon,178,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
5532,35,blue-collar,unknown,basic.9y,no,no,no,may,tue,81,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0,0,0
29906,33,admin.,married,university.degree,no,no,no,aug,wed,787,9,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
10580,35,blue-collar,married,basic.6y,no,yes,no,may,thu,225,1,12,1,success,-1.8,92.893,-46.2,1.266,5099.1,0,1,1
40769,47,admin.,divorced,university.degree,no,no,no,nov,tue,181,4,6,1,success,-3.4,92.649,-30.1,0.72,5017.5,1,1,1
28259,49,entrepreneur,married,university.degree,no,yes,no,nov,fri,13,2,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,0,0,0
373,40,admin.,married,university.degree,no,yes,yes,aug,tue,117,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
35655,31,technician,single,university.degree,no,yes,no,aug,thu,34,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,0,0,0
15566,54,technician,married,professional.course,no,no,yes,may,tue,334,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0,0
